Job Title,Rating,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,Company,min_salary,max_salary,avg_salary,job_state,same_state,age
Investment Advisory Data Analyst,3.4,"Jersey City, NJ","Phoenix, AZ",1001 - 5000 ,Private,Brokerage Services,Finance,1 - 5 million,-1,-1,"Advisor Group
",37,66,51.5,NJ,0,5
Sustainability Data Analyst,3.6,"New York, NY","New York, NY",1 - 50 ,Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable,-1,-1,"CodeGreen Solutions
",37,66,51.5,NY,1,1
Data Analyst,3.8,"New York, NY","New York, NY",201 - 500 ,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"DoubleClick, Specific Media, Collective",True,"Undertone
",37,66,51.5,NY,1,20
Clinical Data Analyst,3.8,"New York, NY","Rome, NY",51 - 200 ,Nonprofit Organization,Consulting,Business Services,25 - 50 million,"KPMG, Accenture, Deloitte",-1,"NYSTEC
",37,66,51.5,NY,0,25
DATA PROGRAMMER/ANALYST,3.9,"New York, NY","Waltham, MA",501 - 1000 ,Nonprofit Organization,Research & Development,Business Services,100 - 500 million,-1,-1,"Education Development Center, Inc.
",37,66,51.5,NY,0,63
Data Analyst,4.9,"New York, NY","New York, NY",51 - 200 ,Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,"Teachers Pay Teachers
",37,66,51.5,NY,1,15
"Product Analyst, Data Science",4.4,"New York, NY","Mountain View, CA",10000 ,Public,Internet,Information Technology,10 billion,"Microsoft, Apple, Facebook",-1,"Google
",37,66,51.5,NY,0,23
Data Analyst - Intex Developer,3.3,"New York, NY","Sydney, Australia",10000 ,Public,Investment Banking & Asset Management,Finance,5 - 10 billion,"Goldman Sachs, Commonwealth Bank of Australia, Deutsche Bank",-1,"Macquarie Group
",37,66,51.5,NY,0,52
Data Analyst,3.5,"New York, NY","Warren, MI",201 - 500 ,Private,Casual Restaurants,"Restaurants, Bars & Food Services",1 - 5 million,-1,-1,"Andiamo
",37,66,51.5,NY,0,1
Entry Level / Jr. Data Analyst,3.8,"New York, NY","Columbus, OH",1 - 50 ,Unknown,-1,-1,Unknown / Non-Applicable,-1,-1,"Dash Technologies Inc
",37,66,51.5,NY,0,1
Data Analyst,4.0,"New York, NY","San Francisco, CA",1 - 50 ,Private,Advertising & Marketing,Business Services,1 million,-1,-1,"Hearst Communications
",37,66,51.5,NY,0,1
Data + Business Intelligence Analyst,5.0,"New York, NY","Pittsburgh, PA",201 - 500 ,Private,Internet,Information Technology,10 - 25 million,-1,-1,"Duolingo
",37,66,51.5,NY,0,10
"Data Analyst, Product",4.8,"New York, NY","New York, NY",51 - 200 ,Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,"Ro
",37,66,51.5,NY,1,4
Data Analyst Entry Level,3.7,"New York, NY","New York, NY",1 - 50 ,Private,Advertising & Marketing,Business Services,1 - 5 million,-1,-1,"Endai
",37,66,51.5,NY,1,1
Data Analyst,4.7,"New York, NY","Washington, DC",1 - 50 ,Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,-1,"BlueLabs
",37,66,51.5,NY,0,1
Data Analyst,3.6,"Brooklyn, NY","Seattle, WA",51 - 200 ,Private,Consulting,Business Services,25 - 50 million,-1,True,"Revel
",46,87,66.5,NY,0,16
Data Analyst,3.6,"Jersey City, NJ","Newtown, PA",1 - 50 ,Private,Enterprise Software & Network Solutions,Information Technology,1 - 5 million,-1,-1,"NALLAS CORPORATION
",46,87,66.5,NJ,0,1
Data Analyst,3.5,"New York, NY","Piscataway, NJ",1 - 50 ,Contract,-1,-1,1 million,-1,-1,"Pozent
",46,87,66.5,NY,0,1
"Data Science Analyst, Capital Markets",3.2,"New York, NY","San Francisco, CA",1001 - 5000 ,Private,Lending,Finance,Unknown / Non-Applicable,-1,-1,"SoFi
",46,87,66.5,NY,0,10
Analyst/Associate Global Markets Credit Data Analyst,3.7,"New York, NY","Charlotte, NC",10000 ,Public,Banks & Credit Unions,Finance,10 billion,-1,-1,"Bank of America
",46,87,66.5,NY,0,117
Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,3.6,"New York, NY","Westmont, IL",1 - 50 ,Private,Computer Hardware & Software,Information Technology,1 million,-1,-1,"Nutech Information Systems
",46,87,66.5,NY,0,1
Data Science Analyst/Engineer,4.0,"New York, NY","New York, NY",10000 ,Hospital,Health Care Services & Hospitals,Health Care,5 - 10 billion,"NewYork-Presbyterian Hospital, Northwell Health",-1,"NYU Langone Health
",46,87,66.5,NY,1,180
Data Analyst,4.6,"New York, NY","West Hollywood, CA",51 - 200 ,Nonprofit Organization,Social Assistance,Non-Profit,10 - 25 million,-1,-1,"The Trevor Project
",46,87,66.5,NY,0,1
Data Analyst,5.0,"New York, NY","Santa Monica, CA",51 - 200 ,Private,-1,-1,Unknown / Non-Applicable,-1,-1,"Whip Media Group
",46,87,66.5,NY,0,5
Data Analyst -1+ year Contract - NYC,4.0,"New York, NY","Cherry Hill, NJ",1 - 50 ,Private,Staffing & Outsourcing,Business Services,1 - 5 million,-1,-1,"Two95 International Inc.
",46,87,66.5,NY,0,1
Data Analyst,3.0,"New York, NY","New York, NY",201 - 500 ,Private,Internet,Information Technology,Unknown / Non-Applicable,"Hired, Indeed, AngelList",-1,"Vettery
",46,87,66.5,NY,1,8
Data Analyst,2.9,"New York, NY","Cleveland, OH",1001 - 5000 ,Private,Staffing & Outsourcing,Business Services,500 million - 1 billion,-1,-1,"Nesco Resource, LLC
",46,87,66.5,NY,0,65
Advertising Data Analyst,4.0,"New York, NY","San Francisco, CA",1 - 50 ,Private,Advertising & Marketing,Business Services,1 million,-1,-1,"Hearst Communications
",46,87,66.5,NY,0,1
Data Analyst,3.6,"New York, NY","New York, NY",501 - 1000 ,Private,Advertising & Marketing,Business Services,100 - 500 million,"Criteo, AppNexus, dataxu",True,"MediaMath
",46,87,66.5,NY,1,14
Market Data Reporting Analyst,4.9,"New York, NY","New York, NY",1 - 50 ,Private,Brokerage Services,Finance,Unknown / Non-Applicable,-1,-1,"Jordan & Jordan
",46,87,66.5,NY,1,31
"Senior Analyst, Data Science",3.9,"New York, NY","San Jose, CA",1001 - 5000 ,Public,IT Services,Information Technology,500 million - 1 billion,-1,-1,"Roku
",46,87,66.5,NY,0,19
"Senior Data Analyst, Disney+",4.0,"New York, NY","Burbank, CA",10000 ,Public,Motion Picture Production & Distribution,Media,10 billion,"News Corp, WarnerMedia, NBCUniversal",-1,"Walt Disney Co.
",46,87,66.5,NY,0,98
"Office of the CAO | Reference Data, Project Manager/Business Analyst",3.8,"New York, NY","Chicago, IL",1001 - 5000 ,Private,-1,-1,50 - 100 million,"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group",-1,"Citadel
",46,87,66.5,NY,0,31
Business Data Analyst,3.7,"Jersey City, NJ","Sunnyvale, CA",1001 - 5000 ,Private,IT Services,Information Technology,100 - 500 million,"Persistent Systems (India), GlobalLogic, Synechron",-1,"Xoriant Corporation
",46,87,66.5,NJ,0,31
Senior Data Analyst,3.6,"New York, NY","New York, NY",51 - 200 ,Private,Brokerage Services,Finance,Unknown / Non-Applicable,-1,-1,"Gemini
",46,87,66.5,NY,1,6
Data Scientist / Big Data Analytics Analyst,3.6,"Weehawken, NJ","Hauppauge, NY",201 - 500 ,Public,Staffing & Outsourcing,Business Services,50 - 100 million,-1,-1,"TSR, Inc.
",46,87,66.5,NJ,0,52
"Principal Data Analyst, LATAM - Disney Streaming Services",4.0,"New York, NY","Burbank, CA",10000 ,Public,Motion Picture Production & Distribution,Media,10 billion,"News Corp, WarnerMedia, NBCUniversal",-1,"Walt Disney Co.
",46,87,66.5,NY,0,98
Data Analyst II,3.2,"New York, NY","New York, NY",1001 - 5000 ,Private,Legal,Accounting & Legal,500 million - 1 billion,-1,-1,"Fragomen Worldwide
",46,87,66.5,NY,1,70
"Data Analyst - Environmental, Social, and Governance",3.8,"New York, NY","New York, NY",10000 ,Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Google, Goldman Sachs, Thomson Reuters",-1,"Bloomberg
",46,87,66.5,NY,1,40
Data Analyst,3.9,"New York, NY","New York, NY",51 - 200 ,Private,Real Estate,Real Estate,25 - 50 million,-1,-1,"Real Capital Analytics
",46,87,66.5,NY,1,21
"Data Analyst, Revenue Analytics",4.8,"New York, NY","New York, NY",51 - 200 ,Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,"Ro
",51,88,69.5,NY,1,4
Data Analyst - Data Acquisition / Data Lineage,3.6,"New York, NY","Saint Louis, MO",1001 - 5000 ,Public,IT Services,Information Technology,500 million - 1 billion,-1,-1,"Perficient
",51,88,69.5,NY,0,23
Data Analyst - Data Scanning utilizing Rochade,3.6,"New York, NY","Saint Louis, MO",1001 - 5000 ,Public,IT Services,Information Technology,500 million - 1 billion,-1,-1,"Perficient
",51,88,69.5,NY,0,23
Data Analyst - Stitching,3.6,"New York, NY","Saint Louis, MO",1001 - 5000 ,Public,IT Services,Information Technology,500 million - 1 billion,-1,-1,"Perficient
",51,88,69.5,NY,0,23
Junior Data Analyst,4.1,"New York, NY","Tampa, FL",10000 ,Public,Staffing & Outsourcing,Business Services,1 - 2 billion,-1,-1,"Kforce
",51,88,69.5,NY,0,55
"Data Analyst, Retail Media",3.9,"New York, NY","Paris, France",1001 - 5000 ,Public,Internet,Information Technology,2 - 5 billion,"MediaMath, Conversant, AppNexus",-1,"Criteo
",51,88,69.5,NY,0,16
Data Analyst,3.0,"New York, NY","New York, NY",1 - 50 ,Private,IT Services,Information Technology,1 - 5 million,-1,-1,"Royal Communications
",51,88,69.5,NY,1,1
Portfolio Data Analyst,3.7,"New York, NY","New York, NY",1001 - 5000 ,Private,Investment Banking & Asset Management,Finance,500 million - 1 billion,"Fidelity Investments, BlackRock, Putnam Investments",-1,"Neuberger Berman
",51,88,69.5,NY,1,82
Data/Reporting Analyst,3.9,"New York, NY","Princeton, NJ",501 - 1000 ,Private,IT Services,Information Technology,100 - 500 million,-1,-1,"Diverse Lynx
",51,88,69.5,NY,0,19
Data Analyst 2,3.7,"New York, NY","South Plainfield, NJ",51 - 200 ,Private,Staffing & Outsourcing,Business Services,50 - 100 million,"Artech Information Systems, Mindlance, Tech Mahindra",-1,"eTeam Inc.
",51,88,69.5,NY,0,22
Marketing Data Analyst,3.6,"New York, NY","Colorado Springs, CO",201 - 500 ,Public,-1,-1,Unknown / Non-Applicable,-1,-1,"Current
",51,88,69.5,NY,0,1
Data/Information Mgt Analyst,3.7,"New York, NY","New York, NY",10000 ,Public,Investment Banking & Asset Management,Finance,10 billion,-1,-1,"Citi
",51,88,69.5,NY,1,209
Business Data Analyst,3.6,"New York, NY","New York, NY",501 - 1000 ,Private,Staffing & Outsourcing,Business Services,100 - 500 million,-1,-1,"Axelon Services Corporation
",51,88,69.5,NY,1,1
Information Systems Officer (Data Analyst),4.1,"New York, NY","New York, NY",10000 ,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,-1,"United Nations
",51,88,69.5,NY,1,76
Media Science Big Data Analyst,3.5,"New York, NY","New York, NY",10000 ,Public,TV Broadcast & Cable Networks,Media,5 - 10 billion,-1,-1,"Discovery Communications, Inc.
",51,88,69.5,NY,1,36
Data Analyst,3.7,"Jersey City, NJ","Atlanta, GA",1001 - 5000 ,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,"Randstad
",51,88,69.5,NJ,0,1
Data Analyst,5.0,"New York, NY","New York, NY (US), NY",1 - 50 ,Private,-1,-1,Unknown / Non-Applicable,-1,-1,"Mulberry Technology
",51,88,69.5,NY,0,1
Data analyst with Python,4.0,"New York, NY","Cherry Hill, NJ",1 - 50 ,Private,Staffing & Outsourcing,Business Services,1 - 5 million,-1,-1,"Two95 International Inc.
",51,88,69.5,NY,0,1
Data Analyst,4.8,"New York, NY","Fremont, CA",51 - 200 ,Private,-1,-1,Unknown / Non-Applicable,-1,-1,"SoftStandard Solutions
",51,88,69.5,NY,0,1
Data Analyst,5.0,"New York, NY","Los Angeles, CA",1 - 50 ,Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,"EDO, Inc.
",51,88,69.5,NY,0,1
"Healthcare Data Analyst, Qsight",3.3,"New York, NY","New York, NY",501 - 1000 ,Private,Research & Development,Business Services,Unknown / Non-Applicable,"Coleman Research, AlphaSights, Third Bridge",True,"Guidepoint
",51,88,69.5,NY,1,18
BA/Data Analyst,4.1,"New York, NY","New York, NY",501 - 1000 ,Private,Staffing & Outsourcing,Business Services,100 - 500 million,-1,-1,"Mitchell Martin
",51,88,69.5,NY,1,37
Data Analyst Python,4.0,"New York, NY","Plainsboro, NJ",1 - 50 ,Private,Accounting,Accounting & Legal,1 million,-1,-1,"Lorven Technologies Inc
",51,88,69.5,NY,0,1
Data Analyst-BA,1.0,"New York, NY","New York, NY",1 - 50 ,Private,IT Services,Information Technology,1 million,-1,-1,"Sphinix Network Solutions Inc.
",51,88,69.5,NY,1,1
Data Analytics Solutions Analyst,3.1,"New York, NY","Alexandria, VA",51 - 200 ,Private,Consulting,Business Services,10 - 25 million,-1,-1,"Praescient Analytics
",51,88,69.5,NY,0,10
Quantitative Data Analyst,4.5,"New York, NY","New York, NY",1001 - 5000 ,Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,True,"Global Atlantic Financial Group
",51,88,69.5,NY,1,17
Data Analyst,3.4,"New York, NY","Washington, DC",1001 - 5000 ,Nonprofit Organization,Brokerage Services,Finance,500 million - 1 billion,-1,-1,"FINRA
",51,88,69.5,NY,0,14
"Descriptive Analytics Data Analyst, IB",3.6,"New York, NY","New York, NY",1001 - 5000 ,Public,Investment Banking & Asset Management,Finance,2 - 5 billion,-1,-1,"Jefferies
",51,87,69.0,NY,1,59
Data Analyst,4.1,"New York, NY","Irvine, CA",1001 - 5000 ,Public,Consulting,Business Services,500 million - 1 billion,"Deloitte, Huron Consulting Group, Point B",-1,"RGP
",51,87,69.0,NY,0,25
Data Analyst,4.4,"New York, NY","Irving, TX",201 - 500 ,Private,IT Services,Information Technology,10 - 25 million,-1,-1,"Tachyon Technologies
",51,87,69.0,NY,0,10
Data Analyst,3.8,"Jersey City, NJ","Glen Allen, VA",1001 - 5000 ,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,2 - 5 billion,"TEKsystems, Insight Global, Accenture",True,"Apex Systems
",51,87,69.0,NJ,0,26
Data Analyst,3.2,"New York, NY","Evanston, IL",1 - 50 ,Private,Consulting,Business Services,1 - 5 million,-1,-1,"Hagerty Consulting
",51,87,69.0,NY,0,1
Business Data Analyst,3.8,"New York, NY","North Brunswick, NJ",501 - 1000 ,Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1,"Cortex consultants LLC
",51,87,69.0,NY,0,1
Data Analyst,4.7,"Brooklyn, NY","Brooklyn, NY",201 - 500 ,Unknown,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,"Medly Pharmacy
",51,87,69.0,NY,1,4
Healthcare Data Analyst,2.3,"New York, NY","New York, NY",1 - 50 ,Nonprofit Organization,-1,-1,10 - 25 million,-1,-1,"Fair Health
",51,87,69.0,NY,1,1
Supply Chain Data Analyst,3.8,"New York, NY","New York, NY",1001 - 5000 ,Public,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,-1,True,"Peloton Interactive
",51,87,69.0,NY,1,9
Data Analyst - IBM Tool Set,4.6,"New York, NY","Troy, MI",201 - 500 ,Private,Staffing & Outsourcing,Business Services,10 - 25 million,-1,-1,"ektello
",51,87,69.0,NY,0,10
Analyst-Data Integrity,3.0,"New York, NY","Charlotte, NC",1001 - 5000 ,Public,Health Care Services & Hospitals,Health Care,1 - 2 billion,-1,-1,"Premier, Inc.
",51,87,69.0,NY,0,54
"Reference Data Operations Analyst - Index Instrument, Associate",3.9,"New York, NY","New York, NY",10000 ,Public,Investment Banking & Asset Management,Finance,10 billion,-1,-1,"JPMorgan Chase
",51,87,69.0,NY,1,222
Data Analyst,3.0,"Long Island City, NY","New York, NY",201 - 500 ,Nonprofit Organization,Social Assistance,Non-Profit,25 - 50 million,-1,-1,"Fund for Public Health
",51,87,69.0,NY,0,1
Data & Service Health Analyst,4.2,"New York, NY","New York, NY",51 - 200 ,Private,-1,-1,Unknown / Non-Applicable,-1,-1,"BlueVoyant
",51,87,69.0,NY,1,1
Data/Systems Analyst,5.0,"New York, NY","Yorktown Heights, NY",51 - 200 ,Private,Consulting,Business Services,5 - 10 million,-1,-1,"Crossfire Consulting Corporation
",51,87,69.0,NY,0,1
Data Analyst,4.0,"New York, NY","Northville, MI",501 - 1000 ,Private,IT Services,Information Technology,50 - 100 million,-1,-1,"Reliable Software Resources
",51,87,69.0,NY,0,17
Data Analyst Intern,3.6,"Jersey City, NJ","New York, NY",51 - 200 ,Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,True,"My Job Tank
",51,87,69.0,NJ,0,1
"Data Analytics Analyst or Associate, Cowen Sustainable Investments",3.7,"New York, NY","New York, NY",501 - 1000 ,Public,Investment Banking & Asset Management,Finance,100 - 500 million,"Jefferies, Piper Sandler, FBR",-1,"Cowen
",51,87,69.0,NY,1,103
Data Reporting Analyst,3.5,"New York, NY","Menlo Park, CA",10000 ,Public,Staffing & Outsourcing,Business Services,2 - 5 billion,"Adecco, Manpower",-1,"Robert Half
",51,87,69.0,NY,0,73
Data Analyst,2.8,"New York, NY","New York, NY",51 - 200 ,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,25 - 50 million,"Ibotta, GutCheck",-1,"FJA-US Inc.
",51,87,69.0,NY,1,27
Data Analyst,5.0,"New York, NY","New York, NY",1 - 50 ,Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,"Averity
",51,87,69.0,NY,1,7
Data Analyst,3.8,"Jersey City, NJ","Paris, France",10000 ,Public,Enterprise Software & Network Solutions,Information Technology,10 billion,"Accenture, CGI, Sopra Steria",-1,"Capgemini
",51,87,69.0,NJ,0,54
ERP Data Analyst,3.4,"New York, NY","Bronx, NY",1001 - 5000 ,Nonprofit Organization,Social Assistance,Non-Profit,100 - 500 million,-1,-1,"Wildlife Conservation Society
",51,87,69.0,NY,0,126
Data Analyst,3.6,"Florham Park, NJ","Florham Park, NJ",501 - 1000 ,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,5 - 10 million,-1,-1,"Asembia
",51,87,69.0,NJ,1,17
PBM Data Analyst,3.2,"New York, NY","New York, NY",1001 - 5000 ,Nonprofit Organization,Insurance Carriers,Insurance,100 - 500 million,-1,-1,"1199SEIU Funds
",51,87,69.0,NY,1,1
Data Analyst (Temporary Assignment),3.8,"New York, NY","New York, NY",51 - 200 ,Other Organization,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,-1,-1,"Nutrafol
",59,85,72.0,NY,1,1
Data Analyst,3.5,"New York, NY","New York, NY",10000 ,Private,Insurance Agencies & Brokerages,Insurance,10 billion,-1,-1,"New York Life Insurance Co
",59,85,72.0,NY,1,176
Market Data Analyst,3.5,"New York, NY","New York, NY",1 - 50 ,Private,Staffing & Outsourcing,Business Services,1 - 5 million,-1,-1,"EDP World, Inc.
",59,85,72.0,NY,1,53
Data Analyst,4.1,"Jersey City, NJ","New York, NY",1 - 50 ,Private,-1,-1,Unknown / Non-Applicable,-1,-1,"Phyton Talent Advisors
",59,85,72.0,NJ,0,1
Junior Data Analyst,5.0,"New York, NY","Woodridge, IL",51 - 200 ,Private,IT Services,Information Technology,50 - 100 million,-1,-1,"Staffigo Technical Services, LLC
",59,85,72.0,NY,0,13
Microsoft Dynamics CRM Data Analyst,3.7,"New York, NY","Armonk, NY",10000 ,Public,IT Services,Information Technology,10 billion,"Amazon, Accenture, Microsoft",-1,"IBM
",59,85,72.0,NY,0,110
Practice Analyst Data,4.0,"Manhasset, NY","Lake Success, NY",10000 ,Nonprofit Organization,Health Care Services & Hospitals,Health Care,10 billion,"Catholic Health System, NewYork-Presbyterian Hospital",-1,"Northwell Health
",59,85,72.0,NY,0,24
Buyside - Data Scientist/Research Analyst,3.3,"New York, NY","London, United Kingdom",201 - 500 ,Private,Staffing & Outsourcing,Business Services,25 - 50 million,-1,-1,"Huxley
",59,85,72.0,NY,0,26
Data Analyst - Healthcare Provider Networks and Formularies,2.9,"New York, NY","New York, NY",1 - 50 ,Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,"Vericred
",59,85,72.0,NY,1,6
Electronic Trading Data Analyst,3.6,"New York, NY","Toronto, Canada",10000 ,Public,Investment Banking & Asset Management,Finance,10 billion,RBC,-1,"Scotiabank
",59,85,72.0,NY,0,189
"Data Analyst, Center for Developing Brain",3.2,"New York, NY","New York, NY",201 - 500 ,Nonprofit Organization,Health Care Services & Hospitals,Health Care,25 - 50 million,-1,-1,"Child Mind Institute
",59,85,72.0,NY,1,12
Data Processing & Performance Analyst,3.1,"New York, NY","Lenexa, KS",51 - 200 ,Private,Computer Hardware & Software,Information Technology,1 - 5 million,-1,-1,"Balance Innovations
",59,85,72.0,NY,0,1
Business Analyst - Data Analyst,3.4,"Newark, NJ","New York, NY",201 - 500 ,Contract,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,"Asset Staffing
",59,85,72.0,NJ,0,1
Data Analyst with Rochade,4.0,"New York, NY","Northville, MI",501 - 1000 ,Private,IT Services,Information Technology,50 - 100 million,-1,-1,"Reliable Software Resources
",59,85,72.0,NY,0,17
Advertising Data Analyst,4.3,"New York, NY","Cincinnati, OH",51 - 200 ,Private,TV Broadcast & Cable Networks,Media,5 - 10 million,-1,-1,"Hearst Television, Inc
",59,85,72.0,NY,0,1
Product Analyst - Data,2.7,"Jersey City, NJ","London, United Kingdom",10000 ,Public,Gambling,"Arts, Entertainment & Recreation",2 - 5 billion,Sky Betting & Gaming,True,"William Hill US
",59,85,72.0,NJ,0,87
Senior Data Analyst,4.1,"New York, NY","New York, NY",1001 - 5000 ,Subsidiary or Business Segment,Video Games,Media,10 - 25 million,-1,-1,"Rockstar Games
",59,85,72.0,NY,1,23
Data Analyst,4.4,"Brooklyn, NY","Baltimore, MD",1 - 50 ,Private,-1,-1,1 - 5 million,-1,-1,"ZDAAS
",59,85,72.0,NY,0,1
Market Research Data Analyst - Physician Technology,3.1,"New York, NY","Burlington, MA",1001 - 5000 ,Subsidiary or Business Segment,IT Services,Information Technology,100 - 500 million,"IQVIA, GlobalData",-1,"Decision Resources Group
",59,85,72.0,NY,0,31
Data Analyst,3.0,"New York, NY","Pleasantville, NY",1 - 50 ,Private,-1,-1,Unknown / Non-Applicable,-1,-1,"Highbridge Consulting LLC
",59,85,72.0,NY,0,1
Look ML Data Analyst,2.9,"New York, NY","Singapore, Singapore",201 - 500 ,Private,Accounting,Accounting & Legal,Unknown / Non-Applicable,-1,-1,"NTT DATA, Inc.
",59,85,72.0,NY,0,1
Data Collection Analyst,3.9,"New York, NY","New York, NY",10000 ,College / University,Colleges & Universities,Education,2 - 5 billion,-1,-1,"Columbia University
",59,85,72.0,NY,1,83
Data Analyst,4.2,"New York, NY","New Brunswick, NJ",201 - 500 ,Private,IT Services,Information Technology,10 - 25 million,-1,-1,"Precision technologies corp
",59,85,72.0,NY,0,13
DATA ENTRY/ BILLING ANALYST,3.9,"Queens Village, NY","Mumbai, India",1001 - 5000 ,Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,-1,"Cactus Holdings
",59,85,72.0,NY,0,19
Student Persistence Initiative Data Analyst/Scientist,4.2,"New York, NY","New York, NY",10000 ,Nonprofit Organization,Colleges & Universities,Education,100 - 500 million,-1,-1,"Cuny Research Foundation
",59,85,72.0,NY,1,58
Data Governance Analyst,5.0,"New York, NY","Yorktown Heights, NY",51 - 200 ,Private,Consulting,Business Services,5 - 10 million,-1,-1,"Crossfire Consulting Corporation
",59,85,72.0,NY,0,1
Sr. Business Intelligence Engineer / Data Analyst,3.9,"New York, NY","Seattle, WA",10000 ,Public,Internet,Information Technology,10 billion,"Google, Microsoft, Walmart",-1,"Amazon
",59,85,72.0,NY,0,27
Data Analyst,3.4,"Brooklyn, NY",-1,Unknown,Private,-1,-1,Unknown / Non-Applicable,-1,-1,"Voice
",59,85,72.0,NY,0,1
Data Analyst,2.9,"New York, NY","Singapore, Singapore",201 - 500 ,Private,Accounting,Accounting & Legal,Unknown / Non-Applicable,-1,-1,"NTT DATA, Inc.
",59,85,72.0,NY,0,1
Data Analyst,4.0,"New York, NY","New York, NY",10000 ,Hospital,Health Care Services & Hospitals,Health Care,5 - 10 billion,"NewYork-Presbyterian Hospital, Northwell Health",-1,"NYU Langone Health
",43,76,59.5,NY,1,180
